chaos_recovery_time_s,claim_p99_ms_median,claim_p99_ms_peak,completion_rate_median,completion_rate_peak,end_to_end_p99_ms_median,end_to_end_p99_ms_peak,enqueue_rate_median,enqueue_rate_peak,jobs_lost,missing,phase,phase_type,producer_p99_ms_median,producer_p99_ms_peak,queue_depth_median,queue_depth_peak,rc,run_id,step,subscriber_p99_ms_median,subscriber_p99_ms_peak,system
,155.505,172.138,475.1012683280198,522.3031910990974,156.964,173.681,477.4171728803349,508.38774254207124,,,clean_1,clean,4.082075087353587,5.800344981253147,0.0,54.0,0,custom-20260507T062729Z-a6fc37,sustained_high_load_pgque,155.505,172.138,pgque
,165.357,178.714,475.43945239262905,524.4631402838577,166.72899999999998,180.52599999999998,480.37925255904884,505.60104687116046,,,pressure_1,high-load,3.990703960880637,4.1800381150096655,0.0,54.0,0,custom-20260507T062729Z-a6fc37,sustained_high_load_pgque,165.357,178.714,pgque
,150.6365,167.95399999999998,477.23623218469766,525.7789323724389,152.00400000000002,169.267,483.4789720447262,507.43115375661876,,,recovery_1,clean,4.012930439785123,4.164608893916011,0.0,56.0,0,custom-20260507T062729Z-a6fc37,sustained_high_load_pgque,150.6365,167.95399999999998,pgque
,1284.095,1589.247,299.475928364579,1588.0968107517226,1286.143,1591.295,0.0,592.092136345475,,,clean_1,clean,5.723,12.727,2179.5,2635.0,0,custom-20260507T080224Z-cb700b,sustained_high_load_awa_dt,1284.095,1589.247,awa
,2284.5429999999997,3887.103,248.78245732966062,1874.2929604665233,2286.591,3889.151,0.0,584.0762146450585,,,pressure_1,high-load,5.439,10.375,3597.5,5730.0,0,custom-20260507T080224Z-cb700b,sustained_high_load_awa_dt,2284.5429999999997,3887.103,awa
,4456.447,5955.583,240.92585783789772,1090.6216037635088,4460.543,5955.583,0.0,0.0,,,recovery_1,clean,4.291,4.291,7472.0,9876.0,0,custom-20260507T080224Z-cb700b,sustained_high_load_awa_dt,4456.447,5955.583,awa
,5562.367,8024.063,529.9230622941953,1347.8904791541943,5566.463,8024.063,612.0308318925279,792.5993186391204,,,clean_1,clean,3.735,4.619,13621.0,20915.0,0,custom-20260507T075318Z-250aa7,sustained_high_load_awa_fixed_postfix,5562.367,8024.063,awa
,16826.367,25214.975,288.45085915755385,2149.95036300224,16842.751,25214.975,501.5164260898669,822.8992898818574,,,pressure_1,high-load,4.157,5.499,35351.0,51747.0,0,custom-20260507T075318Z-250aa7,sustained_high_load_awa_fixed_postfix,16826.367,25214.975,awa
,31047.679,33292.287,255.9871546925711,2178.049660621287,31047.679,33292.287,481.49146628599726,782.3331005768218,,,recovery_1,clean,4.763,6.799,58925.0,65592.0,0,custom-20260507T075318Z-250aa7,sustained_high_load_awa_fixed_postfix,31047.679,33292.287,awa
,156.448,176.244,476.0784646063876,517.8433293240748,157.518,177.983,481.7702832511429,506.9561216182603,,,clean_1,clean,3.9907745085656643,7.641534088179469,0.0,54.0,0,custom-20260507T064522Z-84504b,active_readers_pgque,156.448,176.244,pgque
