aged_completion_rate_median,aged_completion_rate_peak,cell_id,chaos_recovery_time_s,claim_p99_ms_median,claim_p99_ms_peak,completion_rate_median,completion_rate_peak,end_to_end_p99_ms_median,end_to_end_p99_ms_peak,enqueue_rate_median,enqueue_rate_peak,jobs_lost,missing,phase,phase_label,phase_type,producer_p99_ms_median,producer_p99_ms_peak,queue_depth_median,queue_depth_peak,rc,retryable_failure_rate_median,retryable_failure_rate_peak,run_dir,subscriber_p99_ms_median,subscriber_p99_ms_peak,system,worker_count
0.0,0.0,chaos_postgres_restart_awa,,12.007,13.007,0.0,496.18314783404026,13.007,14.007,0.0,499.1830459467007,,,B,restart,postgres-restart,0.332,0.336,0.0,0.0,0,0.0,0.0,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T152311Z-64403e,12.007,13.007,awa,1
0.0,0.0,chaos_postgres_restart_awa,,210.047,250.111,601.6564177940429,2484.4478664071776,211.071,251.007,601.715446472615,2423.736223332573,,,B,recovery,clean,0.538,0.6,7.5,423.0,0,0.0,0.0,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T152311Z-64403e,210.047,250.111,awa,1
,,chaos_postgres_restart_absurd,,40258.0,58559.0,204.4,211.2,40260.0,58561.0,600.9,601.2,,,B,baseline,clean,3.878964460454881,3.9533639792352915,24232.5,35132.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T152714Z-de5d5a,40258.0,58559.0,absurd,1
,,chaos_postgres_restart_absurd,,58785.0,58822.0,0.0,6.4,58786.0,58823.0,0.0,26.2,,,B,restart,postgres-restart,3.9551674854010344,3.9745629765093327,35223.0,35223.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T152714Z-de5d5a,58785.0,58822.0,absurd,1
,,chaos_postgres_restart_absurd,,,,0.0,0.0,,,0.0,0.0,,,B,recovery,clean,,,35223.0,35223.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T152714Z-de5d5a,,,absurd,1
,,chaos_postgres_restart_oban,,17.0,17.0,245.377363745687,248.50059976009598,,,245.47732376168062,248.30067972810878,,,B,baseline,clean,,,2.0,3.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T153058Z-e13ea8,,,oban,1
,,chaos_postgres_restart_oban,,15637.0,31259.0,0.0,104.9370377773336,,,0.0,105.13691784929043,,,B,restart,postgres-restart,,,2.0,2.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T153058Z-e13ea8,,,oban,1
,,chaos_postgres_restart_oban,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,B,recovery,clean,,,2.0,2.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T153058Z-e13ea8,,,oban,1
,,chaos_postgres_restart_pgboss,,,,,,,,,,,True,B,?,?,,,,,1,,,,,,?,1
,,chaos_postgres_restart_procrastinate,,258.254,468.368,247.6896781250809,248.06175711609973,,,249.27741494432635,249.7062079016016,,,B,baseline,clean,,,63.5,117.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T153631Z-c312a7,,,procrastinate,1
,,chaos_postgres_restart_procrastinate,,240.224,482.47499999999997,0.0,102.72469737301516,,,108.92720856186112,378.4366354055209,,,B,restart,postgres-restart,,,391.5,9543.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T153631Z-c312a7,,,procrastinate,1
,,chaos_postgres_restart_procrastinate,,0.0,0.0,0.0,0.0,,,353.79225207471643,358.8165224066399,,,B,recovery,clean,,,21079.5,30784.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T153631Z-c312a7,,,procrastinate,1
,,chaos_postgres_restart_river,,55.0,55.0,233.3202374920191,236.81259591988942,,,233.5004073496877,237.01260655833528,,,B,baseline,clean,,,8.5,11.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T154015Z-f334a0,,,river,1
,,chaos_postgres_restart_river,,55.0,62.0,79.50636155951193,234.99518504265657,,,79.9064199667592,234.7951891404926,,,B,restart,postgres-restart,,,5.0,6.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T154015Z-f334a0,,,river,1
,,chaos_postgres_restart_river,,55.0,55.0,236.01067116760584,241.99636947366662,,,235.9799690339745,242.19636647323162,,,B,recovery,clean,,,5.5,12.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T154015Z-f334a0,,,river,1
,,chaos_postgres_restart_pgque,,114.19,114.275,600.881430882094,601.2523158503313,115.604,115.645,600.9214858034304,601.1335041481749,,,B,baseline,clean,0.3174484707415104,0.33195621023575467,0.0,0.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T154359Z-2477bd,114.19,114.275,pgque,1
,,chaos_postgres_restart_pgque,,112.79400000000001,114.275,294.23930518299983,4186.251802097403,114.29599999999999,115.625,298.72922336992247,4189.24811726806,,,B,restart,postgres-restart,0.3023729659616947,0.32676652384301025,0.0,0.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T154359Z-2477bd,112.79400000000001,114.275,pgque,1
,,chaos_postgres_restart_pgque,,113.8355,114.75399999999999,600.8808725149493,603.5489966259594,115.345,116.22300000000001,600.7731237227077,601.1425894676219,,,B,recovery,clean,0.31302887170265115,0.32463185489177704,0.0,0.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T154359Z-2477bd,113.8355,114.75399999999999,pgque,1
,,chaos_postgres_restart_pgmq,,333.0,404.0,601.6,602.2,345.0,410.0,601.4,602.2,,,B,baseline,clean,3.8526555290445685,3.9317579939961433,3.0,5.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T154743Z-677892,333.0,404.0,pgmq,1
,,chaos_postgres_restart_pgmq,,8.5,438.0,0.0,581.0,11.5,444.0,0.0,581.4,,,B,restart,postgres-restart,1.9658789969980717,3.989225020632148,2.0,2.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T154743Z-677892,8.5,438.0,pgmq,1
,,chaos_postgres_restart_pgmq,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,B,recovery,clean,0.0,0.0,2.0,2.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T154743Z-677892,0.0,0.0,pgmq,1
0.0,0.0,chaos_pg_backend_kill_awa,,27.511000000000003,58.015,600.0364367594298,601.6781294694747,29.511000000000003,60.031,600.003857482564,601.7430150568227,,,B,baseline,clean,0.462,0.534,0.0,15.0,0,0.0,0.0,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T155127Z-130507,27.511000000000003,58.015,awa,1
0.0,0.0,chaos_pg_backend_kill_awa,,67.007,139.007,598.6541266701395,601.6951135567706,69.055,141.055,598.6846469317447,601.7083487470522,,,B,kills,pg-backend-kill,0.48150000000000004,0.535,0.0,15.0,0,0.0,0.0,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T155127Z-130507,67.007,139.007,awa,1
0.0,0.0,chaos_pg_backend_kill_awa,,13.507,139.007,598.780604890133,601.8177680677844,15.507000000000001,141.055,598.8087653157631,601.8289785467803,,,B,recovery,clean,0.336,0.534,0.0,15.0,0,0.0,0.0,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T155127Z-130507,13.507,139.007,awa,1
,,chaos_pg_backend_kill_absurd,,39569.0,57594.0,204.8,214.2,39571.0,57596.0,600.8,601.4,,,B,baseline,clean,3.863685065880418,3.9315868634730577,23815.0,34641.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T155524Z-4c321a,39569.0,57594.0,absurd,1
