chaos_recovery_time_s,claim_p99_ms_median,claim_p99_ms_peak,completion_rate_median,completion_rate_peak,end_to_end_p99_ms_median,end_to_end_p99_ms_peak,enqueue_rate_median,enqueue_rate_peak,jobs_lost,missing,phase,phase_type,producer_p99_ms_median,producer_p99_ms_peak,queue_depth_median,queue_depth_peak,rc,run_id,step,subscriber_p99_ms_median,subscriber_p99_ms_peak,system
,1207.295,1829.887,407.80498174323236,710.1864072492695,1209.343,1831.935,504.11219785391074,662.3951855666143,,,kills,pg-backend-kill,6.063,6.515,1299.0,2874.0,0,chaos_pg_backend_kill-20260507T135748Z-a619e4,chaos_pg_backend_kill,1207.295,1829.887,awa
,1898.495,2447.359,369.4708040475934,1138.410759980525,1901.567,2449.407,383.83194685870683,579.6053670392794,,,recovery,clean,5.667,6.363,4065.0,4279.0,0,chaos_pg_backend_kill-20260507T135748Z-a619e4,chaos_pg_backend_kill,1898.495,2447.359,awa
,123.691,392.031,300.3603409608389,426.9879672788455,125.061,393.54699999999997,599.7586355754461,607.6145106627631,,,baseline,clean,0.7504693620527784,3.731698729097843,0.0,60.0,0,chaos_pg_backend_kill-20260507T135748Z-a619e4,chaos_pg_backend_kill,123.691,392.031,pgque
,284.386,388.682,277.808191483649,412.13008277578683,285.652,389.872,599.0064746951231,651.5333238011731,,,kills,pg-backend-kill,0.9650951867418673,5.665547742197911,0.0,105.0,0,chaos_pg_backend_kill-20260507T135748Z-a619e4,chaos_pg_backend_kill,284.386,388.682,pgque
,216.257,260.091,299.06234868826857,457.2998963572231,217.586,261.463,599.0273669508939,606.3674385436904,,,recovery,clean,1.3913429342210293,5.710233628633432,0.0,75.0,0,chaos_pg_backend_kill-20260507T135748Z-a619e4,chaos_pg_backend_kill,216.257,260.091,pgque
,339.58299999999997,1148.927,441.01037022838227,1551.488799179814,342.655,1149.951,526.9509735633463,579.8753882583156,,,baseline,clean,4.151,5.399,76.5,360.0,0,chaos_pool_exhaustion-20260507T140528Z-f6faff,chaos_pool_exhaustion,339.58299999999997,1148.927,awa
,163.071,195.071,406.517023306868,1252.5153946667158,164.095,196.095,526.2575557753421,586.9979199728705,,,exhaustion,pool-exhaustion,4.263,5.303,90.0,323.0,0,chaos_pool_exhaustion-20260507T140528Z-f6faff,chaos_pool_exhaustion,163.071,195.071,awa
,311.039,552.447,178.98518629105664,1716.9595398484435,312.063,554.495,346.03053788702965,595.140835615192,,,recovery,clean,6.691,9.807,369.0,750.0,0,chaos_pool_exhaustion-20260507T140528Z-f6faff,chaos_pool_exhaustion,311.039,552.447,awa
,279.944,366.568,307.3630909754563,442.75225197704384,281.148,367.74600000000004,599.744342288217,629.4642440797177,,,baseline,clean,1.235285121947527,5.030270991846919,0.0,60.0,0,chaos_pool_exhaustion-20260507T140528Z-f6faff,chaos_pool_exhaustion,279.944,366.568,pgque
,199.30100000000002,231.184,337.3448514615312,456.90637140610505,200.487,232.467,599.0701729105929,666.5903371742435,,,exhaustion,pool-exhaustion,1.5863367977241676,4.066554456949234,0.0,75.0,0,chaos_pool_exhaustion-20260507T140528Z-f6faff,chaos_pool_exhaustion,199.30100000000002,231.184,pgque
,392.12149999999997,552.077,337.49789455027513,464.907468358513,393.375,553.283,598.9864841543797,778.1606288567624,,,recovery,clean,4.687102930620313,6.680776597931981,0.0,30.0,0,chaos_pool_exhaustion-20260507T140528Z-f6faff,chaos_pool_exhaustion,392.12149999999997,552.077,pgque
,119.039,242.047,1507.3459859105974,2252.826354457536,121.023,243.071,400.93549157085755,463.05327240035183,,,baseline,clean,13.363,15.087,23.0,52.0,0,chaos_crash_recovery-20260507T141313Z-99b02b,chaos_crash_recovery_2x,119.039,242.047,awa
,108.031,137.087,117.47814604604676,2085.9834800538297,110.047,139.007,261.22907574153203,290.02756421970344,,,kill,kill-worker,8.415,13.759,,,0,chaos_crash_recovery-20260507T141313Z-99b02b,chaos_crash_recovery_2x,108.031,137.087,awa
,164.095,242.047,805.0642549031977,2378.050845823284,166.015,244.095,389.2254791487928,470.4998978634251,,,restart,start-worker,17.055,20.351,27.0,151.0,0,chaos_crash_recovery-20260507T141313Z-99b02b,chaos_crash_recovery_2x,164.095,242.047,awa
,174.079,331.007,106.00110353010854,1471.5571247124324,176.127,333.055,278.96998170845046,311.9941729961797,,,recovery,clean,21.071,22.847,27.0,92.0,0,chaos_crash_recovery-20260507T141313Z-99b02b,chaos_crash_recovery_2x,174.079,331.007,awa
,144.745,194.942,355.8961389483884,491.49028544133125,146.1475,196.21,600.2432482076958,618.1592491603599,,,baseline,clean,3.20473885429757,4.661788756493479,0.0,90.0,0,chaos_crash_recovery-20260507T141313Z-99b02b,chaos_crash_recovery_2x,144.745,194.942,pgque
,196.84499999999997,246.451,37.9028334546945,96.7795683658155,198.2235,247.825,300.16916275824985,319.0372290461181,,,kill,kill-worker,2.4404878058703616,9.573391609592363,,,0,chaos_crash_recovery-20260507T141313Z-99b02b,chaos_crash_recovery_2x,196.84499999999997,246.451,pgque
,243.927,254.649,246.97345330203166,439.5081837228364,245.117,256.01,600.1294567848654,852.1112969936701,,,restart,start-worker,8.094364876991936,11.628493300772138,0.0,106.0,0,chaos_crash_recovery-20260507T141313Z-99b02b,chaos_crash_recovery_2x,243.927,254.649,pgque
,319.52000000000004,476.012,219.53492916744392,399.1598429857063,320.78499999999997,477.196,599.6827717743494,636.8207359644217,,,recovery,clean,2.6777278690133244,11.166437296196818,0.0,106.0,0,chaos_crash_recovery-20260507T141313Z-99b02b,chaos_crash_recovery_2x,319.52000000000004,476.012,pgque
,119.551,316.159,1461.08689432326,2942.288172495336,121.023,318.207,417.4726076649779,478.10639851028594,,,baseline,clean,14.239,16.039,23.5,50.0,0,chaos_repeated_kills-20260507T142303Z-e83c83,chaos_repeated_kills_2x,119.551,316.159,awa
,145.023,314.111,660.889223910191,1896.822890794858,147.071,315.135,391.20463310606357,485.4636164875319,,,repeated,repeated-kill,14.175,22.543,28.0,175.0,0,chaos_repeated_kills-20260507T142303Z-e83c83,chaos_repeated_kills_2x,145.023,314.111,awa
